req_numer,time,result,energy_avaliable
1,0.00287407,COMPLETE,97.02
2,0.102354,COMPLETE,94.04
3,0.202354,COMPLETE,91.06
4,0.302354,COMPLETE,88.08
5,0.402354,COMPLETE,85.1
6,0.502354,COMPLETE,82.12
7,0.602354,COMPLETE,79.14
8,0.702354,COMPLETE,76.16
9,0.802354,COMPLETE,73.18
10,0.902354,COMPLETE,70.2
11,1.00235,COMPLETE,77.22
12,1.10235,COMPLETE,74.24
13,1.20235,COMPLETE,71.26
14,1.30235,COMPLETE,68.28
15,1.40235,COMPLETE,65.3
16,1.50235,COMPLETE,62.32
17,1.60235,COMPLETE,59.34
18,1.70235,COMPLETE,56.36
19,1.80235,COMPLETE,53.38
20,1.90235,COMPLETE,50.4
21,2.00235,COMPLETE,57.42
22,2.10235,COMPLETE,54.44
23,2.20235,COMPLETE,51.46
24,2.30235,COMPLETE,48.48
25,2.40235,COMPLETE,45.5
26,2.50235,COMPLETE,42.52
27,2.60235,COMPLETE,39.54
28,2.70235,COMPLETE,36.56
29,2.80235,THROTTLED,36.53
30,2.90235,THROTTLED,36.5
31,3.00235,COMPLETE,43.52
32,3.10235,COMPLETE,40.54
33,3.20235,COMPLETE,37.56
34,3.30235,COMPLETE,34.58
35,3.40235,COMPLETE,31.6
36,3.50235,COMPLETE,28.62
37,3.60235,COMPLETE,25.64
38,3.70235,COMPLETE,22.66
39,3.80235,COMPLETE,19.68
40,3.90235,COMPLETE,16.7
41,4.00235,COMPLETE,23.72
42,4.10235,COMPLETE,20.74
43,4.20235,COMPLETE,17.76
44,4.30235,COMPLETE,14.78
45,4.40235,COMPLETE,11.8
46,4.50235,THROTTLED,11.77
47,4.60235,THROTTLED,11.74
48,4.70235,THROTTLED,11.71
49,4.80235,THROTTLED,11.68
50,4.90235,THROTTLED,11.65
51,5.00235,COMPLETE,18.67
52,5.10235,COMPLETE,15.69
53,5.20235,COMPLETE,12.71
54,5.30235,COMPLETE,9.73
55,5.40235,THROTTLED,9.7
56,5.50235,THROTTLED,9.67
57,5.60235,THROTTLED,9.64
58,5.70235,THROTTLED,9.61
59,5.80235,THROTTLED,9.58
60,5.90235,THROTTLED,9.55
61,6.00235,COMPLETE,16.57
62,6.10235,COMPLETE,13.59
63,6.20235,COMPLETE,10.61
64,6.30235,COMPLETE,7.63
65,6.40235,THROTTLED,7.6
66,6.50235,THROTTLED,7.57
67,6.60235,THROTTLED,7.54
68,6.70235,THROTTLED,7.51
69,6.80235,THROTTLED,7.48
70,6.90235,THROTTLED,7.45
71,7.00235,COMPLETE,14.47
72,7.10235,COMPLETE,11.49
73,7.20235,COMPLETE,8.51
74,7.30235,THROTTLED,8.48
75,7.40235,THROTTLED,8.45
76,7.50235,THROTTLED,8.42
77,7.60235,THROTTLED,8.39
78,7.70235,THROTTLED,8.36
79,7.80235,THROTTLED,8.33
80,7.90235,THROTTLED,8.3
81,8.00235,COMPLETE,15.32
82,8.10235,COMPLETE,12.34
83,8.20235,COMPLETE,9.36
84,8.30235,THROTTLED,9.33
85,8.40235,THROTTLED,9.3
86,8.50235,THROTTLED,9.27
87,8.60235,THROTTLED,9.24
88,8.70235,THROTTLED,9.21
89,8.80235,THROTTLED,9.18
90,8.90235,THROTTLED,9.15
91,9.00235,COMPLETE,16.17
92,9.10235,COMPLETE,13.19
93,9.20235,COMPLETE,10.21
94,9.30235,COMPLETE,7.23
95,9.40235,THROTTLED,7.2
96,9.50235,THROTTLED,7.17
97,9.60235,THROTTLED,7.14
98,9.70235,THROTTLED,7.11
99,9.80235,THROTTLED,7.08
100,9.90235,THROTTLED,7.05
101,10.0024,COMPLETE,14.07
102,10.1024,COMPLETE,11.09
103,10.2024,COMPLETE,8.11
104,10.3024,THROTTLED,8.08
105,10.4024,THROTTLED,8.05
106,10.5024,THROTTLED,8.02
107,10.6024,THROTTLED,7.99
108,10.7024,THROTTLED,7.96
109,10.8024,THROTTLED,7.93
110,10.9024,THROTTLED,7.9
111,11.0024,COMPLETE,14.92
112,11.1024,COMPLETE,11.94
113,11.2024,COMPLETE,8.96
114,11.3024,THROTTLED,8.93
115,11.4024,THROTTLED,8.9
116,11.5024,THROTTLED,8.87
117,11.6024,THROTTLED,8.84
118,11.7024,THROTTLED,8.81
119,11.8024,THROTTLED,8.78
120,11.9024,THROTTLED,8.75
121,12.0024,COMPLETE,15.77
122,12.1024,COMPLETE,12.79
123,12.2024,COMPLETE,9.81
124,12.3024,THROTTLED,9.78
125,12.4024,THROTTLED,9.75
126,12.5024,THROTTLED,9.72
127,12.6024,THROTTLED,9.69
128,12.7024,THROTTLED,9.66
129,12.8024,THROTTLED,9.63
130,12.9024,THROTTLED,9.6
131,13.0024,COMPLETE,16.62
132,13.1024,COMPLETE,13.64
133,13.2024,COMPLETE,10.66
134,13.3024,COMPLETE,7.68
135,13.4024,THROTTLED,7.65
136,13.5024,THROTTLED,7.62
137,13.6024,THROTTLED,7.59
138,13.7024,THROTTLED,7.56
139,13.8024,THROTTLED,7.53
140,13.9024,THROTTLED,7.5
141,14.0024,COMPLETE,14.52
142,14.1024,COMPLETE,11.54
143,14.2024,COMPLETE,8.56
144,14.3024,THROTTLED,8.53
145,14.4024,THROTTLED,8.5
146,14.5024,THROTTLED,8.47
147,14.6024,THROTTLED,8.44
148,14.7024,THROTTLED,8.41
149,14.8024,THROTTLED,8.38
150,14.9024,THROTTLED,8.35
151,15.0024,COMPLETE,15.37
152,15.1024,COMPLETE,12.39
153,15.2024,COMPLETE,9.41
154,15.3024,THROTTLED,9.38
155,15.4024,THROTTLED,9.35
156,15.5024,THROTTLED,9.32
157,15.6024,THROTTLED,9.29
158,15.7024,THROTTLED,9.26
159,15.8024,THROTTLED,9.23
160,15.9024,THROTTLED,9.2
161,16.0024,COMPLETE,16.22
162,16.1024,COMPLETE,13.24
163,16.2024,COMPLETE,10.26
164,16.3024,COMPLETE,7.28
165,16.4024,THROTTLED,7.25
166,16.5024,THROTTLED,7.22
167,16.6024,THROTTLED,7.19
168,16.7024,THROTTLED,7.16
169,16.8024,THROTTLED,7.13
170,16.9024,THROTTLED,7.1
171,17.0024,COMPLETE,14.12
172,17.1024,COMPLETE,11.14
173,17.2024,COMPLETE,8.16
174,17.3024,THROTTLED,8.13
175,17.4024,THROTTLED,8.1
176,17.5024,THROTTLED,8.07
177,17.6024,THROTTLED,8.04
178,17.7024,THROTTLED,8.01
179,17.8024,THROTTLED,7.98
180,17.9024,THROTTLED,7.95
181,18.0024,COMPLETE,14.97
182,18.1024,COMPLETE,11.99
183,18.2024,COMPLETE,9.01
184,18.3024,THROTTLED,8.98
185,18.4024,THROTTLED,8.95
186,18.5024,THROTTLED,8.92
187,18.6024,THROTTLED,8.89
188,18.7024,THROTTLED,8.86
189,18.8024,THROTTLED,8.83
190,18.9024,THROTTLED,8.8
191,19.0024,COMPLETE,15.82
192,19.1024,COMPLETE,12.84
193,19.2024,COMPLETE,9.86
194,19.3024,THROTTLED,9.83
195,19.4024,THROTTLED,9.8
196,19.5024,THROTTLED,9.77
197,19.6024,THROTTLED,9.74
198,19.7024,THROTTLED,9.71
199,19.8024,THROTTLED,9.68
200,19.9024,THROTTLED,9.65
201,20.0024,COMPLETE,16.67
202,20.1024,COMPLETE,13.69
203,20.2024,COMPLETE,10.71
204,20.3024,COMPLETE,7.73
205,20.4024,THROTTLED,7.7
206,20.5024,THROTTLED,7.67
207,20.6024,THROTTLED,7.64
208,20.7024,THROTTLED,7.61
209,20.8024,THROTTLED,7.58
210,20.9024,THROTTLED,7.55
211,21.0024,COMPLETE,14.57
212,21.1024,COMPLETE,11.59
213,21.2024,COMPLETE,8.61
214,21.3024,THROTTLED,8.58
215,21.4024,THROTTLED,8.55
216,21.5024,THROTTLED,8.52
217,21.6024,THROTTLED,8.49
218,21.7024,THROTTLED,8.46
219,21.8024,THROTTLED,8.43
