req_numer,time,result,energy_avaliable
1,0.00287407,COMPLETE,97.02
2,0.102354,COMPLETE,94.04
3,0.202354,COMPLETE,91.06
4,0.302354,COMPLETE,88.08
5,0.402354,COMPLETE,85.1
6,0.502354,COMPLETE,82.12
7,0.602354,COMPLETE,79.14
8,0.702354,COMPLETE,76.16
9,0.802354,COMPLETE,73.18
10,0.902354,COMPLETE,70.2
11,1.00235,COMPLETE,77.22
12,1.10235,COMPLETE,74.24
13,1.20235,COMPLETE,71.26
14,1.30235,COMPLETE,68.28
15,1.40235,COMPLETE,65.3
16,1.50235,COMPLETE,62.32
17,1.60235,COMPLETE,59.34
18,1.70235,COMPLETE,56.36
19,1.80235,COMPLETE,53.38
20,1.90235,COMPLETE,50.4
21,2.00235,COMPLETE,57.42
22,2.10235,COMPLETE,54.44
23,2.20235,COMPLETE,51.46
24,2.30235,COMPLETE,48.48
25,2.40235,COMPLETE,45.5
26,2.50235,COMPLETE,42.52
27,2.60235,COMPLETE,39.54
28,2.70235,COMPLETE,36.56
29,2.80235,COMPLETE,33.58
30,2.90235,COMPLETE,30.6
31,3.00235,COMPLETE,37.62
32,3.10235,COMPLETE,34.64
33,3.20235,COMPLETE,31.66
34,3.30235,COMPLETE,28.68
35,3.40235,COMPLETE,25.7
36,3.50235,COMPLETE,22.72
37,3.60235,COMPLETE,19.74
38,3.70235,COMPLETE,16.76
39,3.80235,COMPLETE,13.78
40,3.90235,COMPLETE,10.8
41,4.00235,COMPLETE,17.82
42,4.10235,COMPLETE,14.84
43,4.20235,COMPLETE,11.86
44,4.30235,COMPLETE,8.88
45,4.40235,COMPLETE,5.9
46,4.50235,COMPLETE,2.92
47,4.60235,COMPLETE,0
48,4.70235,DEPLETED,0
49,4.80235,DEPLETED,0
50,4.90235,DEPLETED,0
51,5.00235,COMPLETE,7.02
52,5.10235,COMPLETE,4.04
53,5.20235,COMPLETE,1.06
54,5.30235,COMPLETE,0
55,5.40235,DEPLETED,0
56,5.50235,DEPLETED,0
57,5.60235,DEPLETED,0
58,5.70235,DEPLETED,0
59,5.80235,DEPLETED,0
60,5.90235,DEPLETED,0
61,6.00235,COMPLETE,7.02
62,6.10235,COMPLETE,4.04
63,6.20235,COMPLETE,1.06
64,6.30235,COMPLETE,0
65,6.40235,DEPLETED,0
66,6.50235,DEPLETED,0
67,6.60235,DEPLETED,0
68,6.70235,DEPLETED,0
69,6.80235,DEPLETED,0
70,6.90235,DEPLETED,0
71,7.00235,COMPLETE,7.02
72,7.10235,COMPLETE,4.04
73,7.20235,COMPLETE,1.06
74,7.30235,COMPLETE,0
75,7.40235,DEPLETED,0
76,7.50235,DEPLETED,0
77,7.60235,DEPLETED,0
78,7.70235,DEPLETED,0
79,7.80235,DEPLETED,0
80,7.90235,DEPLETED,0
81,8.00235,COMPLETE,7.02
82,8.10235,COMPLETE,4.04
83,8.20235,COMPLETE,1.06
84,8.30235,COMPLETE,0
85,8.40235,DEPLETED,0
86,8.50235,DEPLETED,0
87,8.60235,DEPLETED,0
88,8.70235,DEPLETED,0
89,8.80235,DEPLETED,0
90,8.90235,DEPLETED,0
91,9.00235,COMPLETE,7.02
92,9.10235,COMPLETE,4.04
93,9.20235,COMPLETE,1.06
94,9.30235,COMPLETE,0
95,9.40235,DEPLETED,0
96,9.50235,DEPLETED,0
97,9.60235,DEPLETED,0
98,9.70235,DEPLETED,0
99,9.80235,DEPLETED,0
100,9.90235,DEPLETED,0
101,10.0024,COMPLETE,7.02
102,10.1024,COMPLETE,4.04
103,10.2024,COMPLETE,1.06
104,10.3024,COMPLETE,0
105,10.4024,DEPLETED,0
106,10.5024,DEPLETED,0
107,10.6024,DEPLETED,0
108,10.7024,DEPLETED,0
109,10.8024,DEPLETED,0
110,10.9024,DEPLETED,0
111,11.0024,COMPLETE,7.02
112,11.1024,COMPLETE,4.04
113,11.2024,COMPLETE,1.06
114,11.3024,COMPLETE,0
115,11.4024,DEPLETED,0
116,11.5024,DEPLETED,0
117,11.6024,DEPLETED,0
118,11.7024,DEPLETED,0
119,11.8024,DEPLETED,0
120,11.9024,DEPLETED,0
121,12.0024,COMPLETE,7.02
122,12.1024,COMPLETE,4.04
123,12.2024,COMPLETE,1.06
124,12.3024,COMPLETE,0
125,12.4024,DEPLETED,0
126,12.5024,DEPLETED,0
127,12.6024,DEPLETED,0
128,12.7024,DEPLETED,0
129,12.8024,DEPLETED,0
130,12.9024,DEPLETED,0
131,13.0024,COMPLETE,7.02
132,13.1024,COMPLETE,4.04
133,13.2024,COMPLETE,1.06
134,13.3024,COMPLETE,0
135,13.4024,DEPLETED,0
136,13.5024,DEPLETED,0
137,13.6024,DEPLETED,0
138,13.7024,DEPLETED,0
139,13.8024,DEPLETED,0
140,13.9024,DEPLETED,0
141,14.0024,COMPLETE,7.02
142,14.1024,COMPLETE,4.04
143,14.2024,COMPLETE,1.06
144,14.3024,COMPLETE,0
145,14.4024,DEPLETED,0
146,14.5024,DEPLETED,0
147,14.6024,DEPLETED,0
148,14.7024,DEPLETED,0
149,14.8024,DEPLETED,0
150,14.9024,DEPLETED,0
151,15.0024,COMPLETE,7.02
152,15.1024,COMPLETE,4.04
153,15.2024,COMPLETE,1.06
154,15.3024,COMPLETE,0
155,15.4024,DEPLETED,0
156,15.5024,DEPLETED,0
157,15.6024,DEPLETED,0
158,15.7024,DEPLETED,0
159,15.8024,DEPLETED,0
160,15.9024,DEPLETED,0
161,16.0024,COMPLETE,7.02
162,16.1024,COMPLETE,4.04
163,16.2024,COMPLETE,1.06
164,16.3024,COMPLETE,0
165,16.4024,DEPLETED,0
166,16.5024,DEPLETED,0
167,16.6024,DEPLETED,0
168,16.7024,DEPLETED,0
169,16.8024,DEPLETED,0
170,16.9024,DEPLETED,0
171,17.0024,COMPLETE,7.02
172,17.1024,COMPLETE,4.04
173,17.2024,COMPLETE,1.06
174,17.3024,COMPLETE,0
175,17.4024,DEPLETED,0
176,17.5024,DEPLETED,0
177,17.6024,DEPLETED,0
178,17.7024,DEPLETED,0
179,17.8024,DEPLETED,0
180,17.9024,DEPLETED,0
181,18.0024,COMPLETE,7.02
182,18.1024,COMPLETE,4.04
183,18.2024,COMPLETE,1.06
184,18.3024,COMPLETE,0
185,18.4024,DEPLETED,0
186,18.5024,DEPLETED,0
187,18.6024,DEPLETED,0
188,18.7024,DEPLETED,0
189,18.8024,DEPLETED,0
190,18.9024,DEPLETED,0
191,19.0024,COMPLETE,7.02
192,19.1024,COMPLETE,4.04
193,19.2024,COMPLETE,1.06
194,19.3024,COMPLETE,0
195,19.4024,DEPLETED,0
196,19.5024,DEPLETED,0
197,19.6024,DEPLETED,0
198,19.7024,DEPLETED,0
199,19.8024,DEPLETED,0
200,19.9024,DEPLETED,0
201,20.0024,COMPLETE,7.02
202,20.1024,COMPLETE,4.04
203,20.2024,COMPLETE,1.06
204,20.3024,COMPLETE,0
205,20.4024,DEPLETED,0
206,20.5024,DEPLETED,0
207,20.6024,DEPLETED,0
208,20.7024,DEPLETED,0
209,20.8024,DEPLETED,0
210,20.9024,DEPLETED,0
211,21.0024,COMPLETE,7.02
212,21.1024,COMPLETE,4.04
213,21.2024,COMPLETE,1.06
214,21.3024,COMPLETE,0
215,21.4024,DEPLETED,0
216,21.5024,DEPLETED,0
217,21.6024,DEPLETED,0
218,21.7024,DEPLETED,0
219,21.8024,DEPLETED,0
220,21.9024,DEPLETED,0
221,22.0024,COMPLETE,7.02
222,22.1024,COMPLETE,4.04
223,22.2024,COMPLETE,1.06
224,22.3024,COMPLETE,0
225,22.4024,DEPLETED,0
226,22.5024,DEPLETED,0
227,22.6024,DEPLETED,0
228,22.7024,DEPLETED,0
229,22.8024,DEPLETED,0
230,22.9024,DEPLETED,0
231,23.0024,COMPLETE,7.02
232,23.1024,COMPLETE,4.04
233,23.2024,COMPLETE,1.06
234,23.3024,COMPLETE,0
