req_numer,time,result,energy_avaliable
1,0.00287407,COMPLETE,97.02
2,0.102354,COMPLETE,94.04
3,0.202354,COMPLETE,91.06
4,0.302354,COMPLETE,88.08
5,0.402354,COMPLETE,85.1
6,0.502354,COMPLETE,82.12
7,0.602354,COMPLETE,79.14
8,0.702354,COMPLETE,76.16
9,0.802354,COMPLETE,73.18
10,0.902354,COMPLETE,70.2
11,1.00235,COMPLETE,77.22
12,1.10235,COMPLETE,74.24
13,1.20235,COMPLETE,71.26
14,1.30235,COMPLETE,68.28
15,1.40235,COMPLETE,65.3
16,1.50235,COMPLETE,62.32
17,1.60235,COMPLETE,59.34
18,1.70235,COMPLETE,56.36
19,1.80235,COMPLETE,53.38
20,1.90235,COMPLETE,50.4
21,2.00235,COMPLETE,57.42
22,2.10235,COMPLETE,54.44
23,2.20235,COMPLETE,51.46
24,2.30235,COMPLETE,48.48
25,2.40235,COMPLETE,45.5
26,2.50235,COMPLETE,42.52
27,2.60235,COMPLETE,39.54
28,2.70235,COMPLETE,36.56
29,2.80235,THROTTLED,36.53
30,2.90235,THROTTLED,36.5
31,3.00235,COMPLETE,43.52
32,3.10235,COMPLETE,40.54
33,3.20235,COMPLETE,37.56
34,3.30235,COMPLETE,34.58
35,3.40235,COMPLETE,31.6
36,3.50235,COMPLETE,28.62
37,3.60235,COMPLETE,25.64
38,3.70235,COMPLETE,22.66
39,3.80235,COMPLETE,19.68
40,3.90235,COMPLETE,16.7
41,4.00235,COMPLETE,23.72
42,4.10235,COMPLETE,20.74
43,4.20235,COMPLETE,17.76
44,4.30235,COMPLETE,14.78
45,4.40235,COMPLETE,11.8
46,4.50235,THROTTLED,11.77
47,4.60235,THROTTLED,11.74
48,4.70235,THROTTLED,11.71
49,4.80235,THROTTLED,11.68
50,4.90235,THROTTLED,11.65
51,5.00235,COMPLETE,18.67
52,5.10235,COMPLETE,15.69
53,5.20235,COMPLETE,12.71
54,5.30235,COMPLETE,9.73
55,5.40235,COMPLETE,6.75
56,5.50235,COMPLETE,3.77
57,5.60235,THROTTLED,3.74
58,5.70235,THROTTLED,3.71
59,5.80235,THROTTLED,3.68
60,5.90235,THROTTLED,3.65
61,6.00235,COMPLETE,10.67
62,6.10235,COMPLETE,7.69
63,6.20235,COMPLETE,4.71
64,6.30235,COMPLETE,1.73
65,6.40235,THROTTLED,1.7
66,6.50235,THROTTLED,1.67
67,6.60235,THROTTLED,1.64
68,6.70235,THROTTLED,1.61
69,6.80235,THROTTLED,1.58
70,6.90235,THROTTLED,1.55
71,7.00235,COMPLETE,8.57
72,7.10235,COMPLETE,5.59
73,7.20235,COMPLETE,2.61
74,7.30235,THROTTLED,2.58
75,7.40235,THROTTLED,2.55
76,7.50235,THROTTLED,2.52
77,7.60235,THROTTLED,2.49
78,7.70235,THROTTLED,2.46
79,7.80235,THROTTLED,2.43
80,7.90235,THROTTLED,2.4
81,8.00235,COMPLETE,9.42
82,8.10235,COMPLETE,6.44
83,8.20235,COMPLETE,3.46
84,8.30235,THROTTLED,3.43
85,8.40235,THROTTLED,3.4
86,8.50235,THROTTLED,3.37
87,8.60235,THROTTLED,3.34
88,8.70235,THROTTLED,3.31
89,8.80235,THROTTLED,3.28
90,8.90235,THROTTLED,3.25
91,9.00235,COMPLETE,10.27
92,9.10235,COMPLETE,7.29
93,9.20235,COMPLETE,4.31
94,9.30235,COMPLETE,1.33
95,9.40235,THROTTLED,1.3
96,9.50235,THROTTLED,1.27
97,9.60235,THROTTLED,1.24
98,9.70235,THROTTLED,1.21
99,9.80235,THROTTLED,1.18
100,9.90235,THROTTLED,1.15
101,10.0024,COMPLETE,8.17
102,10.1024,COMPLETE,5.19
103,10.2024,COMPLETE,2.21
104,10.3024,THROTTLED,2.18
105,10.4024,THROTTLED,2.15
106,10.5024,THROTTLED,2.12
107,10.6024,THROTTLED,2.09
108,10.7024,THROTTLED,2.06
109,10.8024,THROTTLED,2.03
110,10.9024,THROTTLED,2
111,11.0024,COMPLETE,9.02
112,11.1024,COMPLETE,6.04
113,11.2024,COMPLETE,3.06
114,11.3024,THROTTLED,3.03
115,11.4024,THROTTLED,3
116,11.5024,THROTTLED,2.97
117,11.6024,THROTTLED,2.94
118,11.7024,THROTTLED,2.91
119,11.8024,THROTTLED,2.88
120,11.9024,THROTTLED,2.85
121,12.0024,COMPLETE,9.87
122,12.1024,COMPLETE,6.89
123,12.2024,COMPLETE,3.91
124,12.3024,THROTTLED,3.88
125,12.4024,THROTTLED,3.85
126,12.5024,THROTTLED,3.82
127,12.6024,THROTTLED,3.79
128,12.7024,THROTTLED,3.76
129,12.8024,THROTTLED,3.73
130,12.9024,THROTTLED,3.7
131,13.0024,COMPLETE,10.72
132,13.1024,COMPLETE,7.74
133,13.2024,COMPLETE,4.76
134,13.3024,COMPLETE,1.78
135,13.4024,THROTTLED,1.75
136,13.5024,THROTTLED,1.72
137,13.6024,THROTTLED,1.69
138,13.7024,THROTTLED,1.66
139,13.8024,THROTTLED,1.63
140,13.9024,THROTTLED,1.6
141,14.0024,COMPLETE,8.62
142,14.1024,COMPLETE,5.64
143,14.2024,COMPLETE,2.66
144,14.3024,THROTTLED,2.63
145,14.4024,THROTTLED,2.6
146,14.5024,THROTTLED,2.57
147,14.6024,THROTTLED,2.54
148,14.7024,THROTTLED,2.51
149,14.8024,THROTTLED,2.48
150,14.9024,THROTTLED,2.45
151,15.0024,COMPLETE,9.47
152,15.1024,COMPLETE,6.49
153,15.2024,COMPLETE,3.51
154,15.3024,THROTTLED,3.48
155,15.4024,THROTTLED,3.45
156,15.5024,THROTTLED,3.42
157,15.6024,THROTTLED,3.39
158,15.7024,THROTTLED,3.36
159,15.8024,THROTTLED,3.33
160,15.9024,THROTTLED,3.3
161,16.0024,COMPLETE,10.32
162,16.1024,COMPLETE,7.34
163,16.2024,COMPLETE,4.36
164,16.3024,COMPLETE,1.38
165,16.4024,THROTTLED,1.35
166,16.5024,THROTTLED,1.32
167,16.6024,THROTTLED,1.29
168,16.7024,THROTTLED,1.26
169,16.8024,THROTTLED,1.23
170,16.9024,THROTTLED,1.2
171,17.0024,COMPLETE,8.22
172,17.1024,COMPLETE,5.24
173,17.2024,COMPLETE,2.26
174,17.3024,THROTTLED,2.23
175,17.4024,THROTTLED,2.2
176,17.5024,THROTTLED,2.17
177,17.6024,THROTTLED,2.14
178,17.7024,THROTTLED,2.11
179,17.8024,THROTTLED,2.08
180,17.9024,THROTTLED,2.05
181,18.0024,COMPLETE,9.07
182,18.1024,COMPLETE,6.09
183,18.2024,COMPLETE,3.11
184,18.3024,THROTTLED,3.08
185,18.4024,THROTTLED,3.05
186,18.5024,THROTTLED,3.02
187,18.6024,THROTTLED,2.99
188,18.7024,THROTTLED,2.96
189,18.8024,THROTTLED,2.93
190,18.9024,THROTTLED,2.9
191,19.0024,COMPLETE,9.92
192,19.1024,COMPLETE,6.94
193,19.2024,COMPLETE,3.96
194,19.3024,THROTTLED,3.93
195,19.4024,THROTTLED,3.9
196,19.5024,THROTTLED,3.87
197,19.6024,THROTTLED,3.84
198,19.7024,THROTTLED,3.81
199,19.8024,THROTTLED,3.78
200,19.9024,THROTTLED,3.75
201,20.0024,COMPLETE,10.77
202,20.1024,COMPLETE,7.79
203,20.2024,COMPLETE,4.81
204,20.3024,COMPLETE,1.83
205,20.4024,THROTTLED,1.8
206,20.5024,THROTTLED,1.77
207,20.6024,THROTTLED,1.74
208,20.7024,THROTTLED,1.71
209,20.8024,THROTTLED,1.68
210,20.9024,THROTTLED,1.65
211,21.0024,COMPLETE,8.67
212,21.1024,COMPLETE,5.69
213,21.2024,COMPLETE,2.71
214,21.3024,THROTTLED,2.68
215,21.4024,THROTTLED,2.65
216,21.5024,THROTTLED,2.62
217,21.6024,THROTTLED,2.59
218,21.7024,THROTTLED,2.56
219,21.8024,THROTTLED,2.53
